"kernel","clonality","pollen_vector","self_failoutcross","seedmass","compartsize","self_proba","span_min","span_max","firstflower_min","firstflower_max","bankduration_max","bankduration_min","seednumber_min","seednumber_max","b0grow","b0germ","b0mort","floron","floroff","seedon","seedoff","temp_opt","temp_tol","abund","sp_id"
"short",TRUE,"insects",FALSE,0.0001,10,0,1560,1560,310.486898798496,310.486898798496,3.8755406702403,3.8755406702403,6514.31443389408,21841.4837061996,4531446956.9909,141363714.221475,1113239249.49412,18,31,30,34,280.113991769547,7.01666666666667,71,"p-11"
"short-long",TRUE,"insects",FALSE,0.001,50,0,1560,1560,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,75,75,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,281.194397463002,8.71666666666667,92,"p-12"
"long-medium-short",TRUE,"wind",FALSE,0.001,50,0,52,1560,18.772773321718,18.772773321718,191.231705695012,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,44,43,47,286.142292089249,9.4,44,"p-13"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,278.860794297352,11.0666666666667,56,"p-14"
"long-medium-short",TRUE,"insects",TRUE,0.0001,10,0,1560,1560,62.9930354409555,93.2849428096428,385.780391125008,3.8755406702403,37,37,4531446956.9909,141363714.221475,1113239249.49412,23,35,34,38,281.239882352941,8.21666666666667,71,"p-15"
"short-long",TRUE,"wind",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,140.783096700959,7.11071201213118,1000,1000,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,279.867302798982,7.91666666666667,42,"p-16"
"long",FALSE,"insects",FALSE,0.001,50,0.95,52,104,18.772773321718,18.772773321718,220.1865528333,7.11071201213118,7.75,250,8058178821.30045,141363714.221475,1113239249.49412,23,44,43,47,287.832530120482,8.16666666666667,21,"p-17"
"long-short",TRUE,"wind",TRUE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,155.741047497428,7.11071201213118,0.75,0.75,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,282.402967032967,8.15,80,"p-18"
"long-medium-short",TRUE,"insects",FALSE,0.0003,20,0.95,1560,1560,18.772773321718,18.772773321718,112.824005140838,7.11071201213118,5113.36430811131,17367.3980949484,5963719581.16838,141363714.221475,1113239249.49412,23,40,39,43,279.508044806517,7.86666666666666,84,"p-19"
"long-short",TRUE,"wind",FALSE,0.001,50,0,1560,1560,81.167382387491,105.328986768252,147.55184476831,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,279.844758909853,7.5,95,"p-20"
"short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,280.545095948827,8.81666666666666,49,"p-21"
"medium-long",FALSE,"insects",TRUE,0.001,50,0,52,52,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,2.35,19,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,278.056262626263,7.16666666666667,34,"p-22"
"long-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.219105841303,7.11071201213118,212.5,2501.25,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,283.535829959514,9.31666666666666,66,"p-23"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0,104,104,52,52,385.780391125008,3.8755406702403,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,279.931531531532,8.84999999999999,49,"p-24"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,55.25,55.25,8058178821.30045,141363714.221475,1113239249.49412,14,26,25,29,281.53981042654,8,58,"p-25"
"long-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.374733685424,7.11071201213118,67,2391.5,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,279.167777777778,8.28333333333333,79,"p-26"
"long-short",FALSE,"insects",TRUE,0.001,50,0,52,104,18.772773321718,18.772773321718,220.171779452514,7.11071201213118,23.75,250,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,285.290973630832,7.2,25,"p-27"
