"kernel","clonality","seedmass","maxmass","span_min","span_max","firstflower_min","firstflower_max","bankduration_max","bankduration_min","seednumber_min","seednumber_max","b0grow_min","b0grow_max","b0germ_min","b0germ_max","b0mort_min","b0mort_max","floron_min","floron_max","floroff_min","floroff_max","seedon_min","seedon_max","seedoff_min","seedoff_max","abund","sp_id"
"any",FALSE,0.001,5,52,104,18.772773321718,18.772773321718,215.202071170726,3.8755406702403,12.4,300,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,35,"p-22"
"any",FALSE,0.001,5,794.390211474058,1358.83743348407,61.4441295191394,96.3075010940557,153.365237409529,3.8755406702403,5762.72965780594,23363.4058386974,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,76,"p-23"
"any",TRUE,0.001,5,52,260,18.772773321718,105.595880214125,385.780391125008,3.8755406702403,342,342,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,21,"p-24"
"long-medium",TRUE,0.001,5,260,1560,18.772773321718,105.595880214125,177.003371161112,3.8755406702403,172,324.5,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,70,"p-25"
"any",TRUE,0.001,5,52,1560,18.772773321718,18.772773321718,188.059931240688,3.8755406702403,11000,15000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,24,"p-26"
"any",TRUE,0.001,5,1560,1560,18.772773321718,18.772773321718,175.325990402375,3.8755406702403,10,10,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,78,"p-27"
"short",TRUE,0.001,5,1560,1560,88.8983691876531,122.278892100574,135.071046070319,3.8755406702403,5762.72965780594,23363.4058386974,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,52,"p-28"
"any",TRUE,0.001,5,1560,1560,18.772773321718,105.595880214125,163.412888391841,3.8755406702403,255.8,255.8,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,65,"p-29"
"long-medium",TRUE,0.001,5,52,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,30,194,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,52,"p-30"
"long-short",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,89,"p-31"
"any",TRUE,0.0003,2,260,1560,18.772773321718,105.595880214125,57.3305431546158,3.8755406702403,200000,500000,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,47,"p-32"
"short",TRUE,0.001,5,1560,1560,85.7449126155107,117.955445614435,151.815560740697,3.8755406702403,25,60,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,30,"p-33"
"any",TRUE,0.001,5,52,1560,18.772773321718,105.595880214125,177.339995183383,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,44,"p-34"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,150.550100071504,3.8755406702403,19,19,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,28,"p-35"
"any",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,163.328370098082,3.8755406702403,425,12500,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,98,"p-36"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,149.794476426684,3.8755406702403,3000,3000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,44,"p-37"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,153.194510502163,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,66,"p-38"
"long-short",TRUE,0.0001,1,1560,2600,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,280,280,0.05000002,0.055000022,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,60,"p-39"
"long-short",FALSE,0.001,5,52,104,18.772773321718,105.595880214125,203.294706369924,3.8755406702403,95,1000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,79,"p-40"
"any",TRUE,0.0003,2,1560,1560,105.595880214125,105.595880214125,98.7049806208165,3.8755406702403,528.5,528.5,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,42,"p-41"
"any",TRUE,0.0001,1,260,1560,105.595880214125,105.595880214125,93.9206195768443,3.8755406702403,3036,33000,0.05000002,0.055000022,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,45,"p-42"
"medium",TRUE,0.001,5,1560,1560,90.7118095362941,122.236912255956,153.063418352138,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,94,"p-43"
"any",TRUE,0.001,5,260,1560,18.772773321718,105.595880214125,175.949434001689,3.8755406702403,345,18000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,84,"p-44"
"any",TRUE,0.001,5,1560,1560,95.5839444115644,128.229507048053,3.8755406702403,3.8755406702403,30,110,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,63,"p-45"
"any",TRUE,0.001,5,52,1560,18.772773321718,105.595880214125,178.625287203773,3.8755406702403,132.1,10000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,97,"p-46"
"any",TRUE,0.001,5,260,2600,105.595880214125,105.595880214125,146.824403678224,3.8755406702403,225,341,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,74,"p-47"
"any",TRUE,0.001,5,260,1560,52.5437605013233,86.5817957941953,173.564993577031,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,66,"p-48"
"any",TRUE,0.0003,2,52,1560,18.772773321718,105.595880214125,125.093240184887,3.8755406702403,565,40000,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,26,"p-49"
"long",FALSE,0.0003,2,850.335018942104,1609.85924537192,65.0399877872806,104.162373493079,102.316637737316,3.8755406702403,20101.1217390382,69556.418216517,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,62,"p-50"
"any",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,164.07136263423,3.8755406702403,243,243,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,23,"p-51"
"any",FALSE,0.001,5,260,1560,105.595880214125,105.595880214125,164.701746758842,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,43,"p-52"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,149.540996505577,3.8755406702403,4000,4000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,87,"p-53"
"short-medium",TRUE,0.001,5,773.838900952218,1266.69354872743,60.1227378930509,93.4230141517348,172.102629720537,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,24,"p-54"
"medium-short",TRUE,0.0001,1,104,1560,105.595880214125,105.595880214125,97.8586893130667,3.8755406702403,750,750,0.05000002,0.055000022,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,28,"p-55"
"any",TRUE,0.001,5,104,1560,18.772773321718,18.772773321718,190.513285766305,3.8755406702403,24,311,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,84,"p-56"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,150.424835374024,3.8755406702403,45.4,2100,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,34,"p-57"
"short",TRUE,0.001,5,1560,1560,310.486898798496,310.486898798496,60.2457258014006,3.8755406702403,6000,6000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,40,"p-58"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,149.950387566731,3.8755406702403,268,9566,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,21,"p-59"
"any",FALSE,0.001,5,104,260,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,192,192,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,37,"p-60"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,153.194510502163,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,38,"p-61"
"any",FALSE,0.0001,1,52,1560,38.4298200323621,81.0782167812357,97.2283278813989,3.8755406702403,25666.2758451856,87485.2927411734,0.05000002,0.055000022,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,94,"p-62"
"any",FALSE,0.001,5,104,104,18.772773321718,105.595880214125,385.780391125008,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,54,"p-63"
"long",TRUE,0.001,5,1560,1560,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,139,657,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,82,"p-64"
"any",TRUE,0.001,5,1560,1560,90.7118095362941,122.236912255956,153.063418352138,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,100,"p-65"
"any",TRUE,0.001,5,1560,1560,85.4504177122924,117.702590701554,151.730650526407,3.8755406702403,677,677,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,50,"p-66"
"short-medium",TRUE,0.001,5,260,260,24.2262100241252,58.7189022711717,204.177092444731,3.8755406702403,87,87,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,65,"p-67"
"short",TRUE,0.0001,1,1560,1560,310.486898798496,310.486898798496,3.8755406702403,3.8755406702403,25666.2758451856,87485.2927411734,0.05000002,0.055000022,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,39,"p-68"
"long",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,108,1900,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,52,"p-69"
"any",FALSE,0.001,5,52,52,18.772773321718,18.772773321718,216.069463476478,3.8755406702403,19.4,187,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,68,"p-70"
"short-medium",TRUE,0.0001,1,1560,1560,82.1171409512613,118.201402826761,385.780391125008,3.8755406702403,148,148,0.05000002,0.055000022,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,51,"p-71"
"short-medium",TRUE,0.001,5,1560,1560,18.772773321718,18.772773321718,175.328098588947,3.8755406702403,1,4,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,38,"p-72"
"any",TRUE,0.0003,2,1166.67129343562,1747.561837936,93.8167521780778,130.008404000851,98.1792204869565,3.8755406702403,299.5,299.5,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,23,"p-73"
"any",TRUE,0.001,5,1560,1560,18.772773321718,105.595880214125,118.611782519735,3.8755406702403,177000,177000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,71,"p-74"
"any",TRUE,0.001,5,1560,1560,18.772773321718,105.595880214125,163.460710326337,3.8755406702403,66,71,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,96,"p-75"
"any",TRUE,0.001,5,52,1560,18.772773321718,18.772773321718,190.678585115639,3.8755406702403,100,6600,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,42,"p-76"
"any",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,161.518312868841,3.8755406702403,10315,10315,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,54,"p-77"
"short",FALSE,0.001,5,52,104,18.772773321718,18.772773321718,149.45825105533,3.8755406702403,200,300,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,25,"p-78"
"short-long",TRUE,0.001,5,1560,1560,97.1592860954477,129.581372238252,3.8755406702403,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,100,"p-79"
"any",TRUE,0.001,5,52,1560,18.772773321718,105.595880214125,173.046051814885,3.8755406702403,2100,100000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,24,"p-80"
"short",TRUE,0.001,5,1560,1560,88.8983691876531,122.278892100574,135.071046070319,3.8755406702403,5762.72965780594,23363.4058386974,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,32,"p-81"
"any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,221,221,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,36,"p-82"
"short-medium",FALSE,0.001,5,794.390211474058,1358.83743348407,61.4441295191394,96.3075010940557,153.365237409529,3.8755406702403,5762.72965780594,23363.4058386974,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,59,"p-83"
"long-medium",FALSE,0.001,5,52,104,18.772773321718,18.772773321718,149.45825105533,3.8755406702403,10,40,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,47,"p-84"
"any",TRUE,0.0001,1,260,1560,18.772773321718,18.772773321718,105.256922775407,3.8755406702403,25666.2758451856,87485.2927411734,0.05000002,0.055000022,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,40,"p-85"
"any",FALSE,0.001,5,794.390211474058,1358.83743348407,61.4441295191394,96.3075010940557,153.365237409529,3.8755406702403,5762.72965780594,23363.4058386974,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,56,"p-86"
"any",TRUE,0.0003,2,1560,1560,105.595880214125,105.595880214125,98.8123875443556,3.8755406702403,3,450,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,56,"p-87"
"any",TRUE,0.001,5,260,1560,18.772773321718,105.595880214125,175.498837382314,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,99,"p-88"
"any",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,164.12448386015,3.8755406702403,12.6,104.1,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,82,"p-89"
"any",TRUE,0.001,5,104,1560,18.772773321718,105.595880214125,149.45825105533,3.8755406702403,190,190,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,55,"p-90"
"any",TRUE,0.001,5,52,2600,18.772773321718,105.595880214125,161.913190098629,3.8755406702403,64,1000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,50,"p-91"
"any",FALSE,0.001,5,52,104,20.5659783894919,55.5664969569256,149.45825105533,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,50,"p-92"
"any",TRUE,0.0003,2,1560,1560,18.772773321718,105.595880214125,111.753317657508,3.8755406702403,21,75,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,28,"p-93"
"long-short",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,46.5,10700,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,37,"p-94"
"long-medium",TRUE,0.0003,2,1560,1560,105.595880214125,105.595880214125,98.8235850821187,3.8755406702403,19.5,200,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,75,"p-95"
"short",FALSE,0.001,5,794.390211474058,1358.83743348407,61.4441295191394,96.3075010940557,153.365237409529,3.8755406702403,5762.72965780594,23363.4058386974,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,60,"p-96"
"short",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,66,"p-97"
"any",FALSE,0.0003,2,52,52,18.772773321718,18.772773321718,149.45825105533,3.8755406702403,20101.1217390382,69556.418216517,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,73,"p-98"
"any",TRUE,0.001,5,1560,1560,18.772773321718,105.595880214125,163.991601125635,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,76,"p-99"
"long-medium",FALSE,0.001,5,52,52,18.772773321718,18.772773321718,216.008009358469,3.8755406702403,300,300,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,28,"p-100"
"any",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,164.701746758842,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,86,"p-101"
"any",TRUE,0.0001,1,260,1560,18.772773321718,105.595880214125,109.341232652062,3.8755406702403,4,4,0.05000002,0.055000022,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,62,"p-102"
"medium-short",TRUE,0.001,5,1560,1560,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,5762.72965780594,23363.4058386974,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,28,"p-103"
"any",FALSE,0.001,5,52,104,18.772773321718,105.595880214125,203.347828990136,3.8755406702403,30,300,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,50,"p-104"
"medium-short",TRUE,0.001,5,1560,1560,63.0795070372463,95.4157610010607,385.780391125008,3.8755406702403,18,18,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,75,"p-105"
"short-medium",TRUE,0.001,5,1560,2600,105.595880214125,105.595880214125,133.296981730843,3.8755406702403,36,105,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,69,"p-106"
"any",TRUE,0.0003,2,1560,1560,18.772773321718,18.772773321718,117.27555574303,3.8755406702403,25000,25000,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,80,"p-107"
"any",FALSE,0.001,5,104,104,18.772773321718,105.595880214125,200.920798745139,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,32,"p-108"
"any",TRUE,0.001,5,260,1560,18.772773321718,18.772773321718,185.843351159285,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,21,"p-109"
"short-long",TRUE,0.001,5,1560,1560,310.486898798496,310.486898798496,103.303127722202,3.8755406702403,623.082367522258,6805.35738021946,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,92,"p-110"
"long-short",FALSE,0.001,5,52,104,105.595880214125,105.595880214125,169.410026198536,3.8755406702403,4287.5,350000,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36,80,"p-111"
