"week","meantemp","sdtemp_ts","meanprec_ts","sdprec_ts"
2330,10.58,0.00001,0,0.00001
2331,10.58,0.00001,0,0.00001
2332,10.58,0.00001,0,0.00001
2333,4.51,0.00001,0,0.00001
2334,4.51,0.00001,0,0.00001
2335,4.51,0.00001,0,0.00001
2336,4.51,0.00001,0,0.00001
2337,-0.4,0.00001,0,0.00001
2338,-0.4,0.00001,0,0.00001
2339,-0.4,0.00001,0,0.00001
2340,-0.4,0.00001,0,0.00001
2341,2.65,0.00001,0,0.00001
2342,2.65,0.00001,0,0.00001
2343,2.65,0.00001,0,0.00001
2344,2.65,0.00001,0,0.00001
2345,2.65,0.00001,0,0.00001
2346,1.36,0.00001,0,0.00001
2347,1.36,0.00001,0,0.00001
2348,1.36,0.00001,0,0.00001
2349,1.36,0.00001,0,0.00001
2350,0.33,0.00001,0,0.00001
2351,0.33,0.00001,0,0.00001
2352,0.33,0.00001,0,0.00001
2353,0.33,0.00001,0,0.00001
2354,8.85,0.00001,0,0.00001
2355,8.85,0.00001,0,0.00001
2356,8.85,0.00001,0,0.00001
2357,8.85,0.00001,0,0.00001
2358,8.85,0.00001,0,0.00001
2359,9.9,0.00001,0,0.00001
2360,9.9,0.00001,0,0.00001
2361,9.9,0.00001,0,0.00001
2362,9.9,0.00001,0,0.00001
2363,14.22,0.00001,0,0.00001
2364,14.22,0.00001,0,0.00001
2365,14.22,0.00001,0,0.00001
2366,14.22,0.00001,0,0.00001
2367,14.95,0.00001,0,0.00001
2368,14.95,0.00001,0,0.00001
2369,14.95,0.00001,0,0.00001
2370,14.95,0.00001,0,0.00001
2371,14.95,0.00001,0,0.00001
2372,15.1,0.00001,0,0.00001
2373,15.1,0.00001,0,0.00001
2374,15.1,0.00001,0,0.00001
2375,15.1,0.00001,0,0.00001
2376,12.08,0.00001,0,0.00001
2377,12.08,0.00001,0,0.00001
2378,12.08,0.00001,0,0.00001
2379,12.08,0.00001,0,0.00001
2380,8.65,0.00001,0,0.00001
2381,8.65,0.00001,0,0.00001
2382,8.65,0.00001,0,0.00001
2383,8.65,0.00001,0,0.00001
2384,8.65,0.00001,0,0.00001
2385,2.57,0.00001,0,0.00001
2386,2.57,0.00001,0,0.00001
2387,2.57,0.00001,0,0.00001
2388,2.57,0.00001,0,0.00001
2389,-3.46,0.00001,0,0.00001
2390,-3.46,0.00001,0,0.00001
2391,-3.46,0.00001,0,0.00001
2392,-3.46,0.00001,0,0.00001
2393,-8.54,0.00001,0,0.00001
2394,-8.54,0.00001,0,0.00001
2395,-8.54,0.00001,0,0.00001
2396,-8.54,0.00001,0,0.00001
2397,-8.54,0.00001,0,0.00001
2398,-6.7,0.00001,0,0.00001
2399,-6.7,0.00001,0,0.00001
2400,-6.7,0.00001,0,0.00001
2401,-6.7,0.00001,0,0.00001
2402,2.63,0.00001,0,0.00001
2403,2.63,0.00001,0,0.00001
2404,2.63,0.00001,0,0.00001
2405,2.63,0.00001,0,0.00001
2406,9.2,0.00001,0,0.00001
2407,9.2,0.00001,0,0.00001
2408,9.2,0.00001,0,0.00001
2409,9.2,0.00001,0,0.00001
2410,9.2,0.00001,0,0.00001
2411,12.4,0.00001,0,0.00001
2412,12.4,0.00001,0,0.00001
2413,12.4,0.00001,0,0.00001
2414,12.4,0.00001,0,0.00001
2415,15.92,0.00001,0,0.00001
2416,15.92,0.00001,0,0.00001
2417,15.92,0.00001,0,0.00001
2418,15.92,0.00001,0,0.00001
2419,17.25,0.00001,0,0.00001
2420,17.25,0.00001,0,0.00001
2421,17.25,0.00001,0,0.00001
2422,17.25,0.00001,0,0.00001
2423,17.25,0.00001,0,0.00001
2424,15.93,0.00001,0,0.00001
2425,15.93,0.00001,0,0.00001
2426,15.93,0.00001,0,0.00001
2427,15.93,0.00001,0,0.00001
2428,13.58,0.00001,0,0.00001
2429,13.58,0.00001,0,0.00001
2430,13.58,0.00001,0,0.00001
2431,13.58,0.00001,0,0.00001
2432,7.9,0.00001,0,0.00001
2433,7.9,0.00001,0,0.00001
2434,7.9,0.00001,0,0.00001
2435,7.9,0.00001,0,0.00001
2436,7.9,0.00001,0,0.00001
2437,7.8,0.00001,0,0.00001
2438,7.8,0.00001,0,0.00001
2439,7.8,0.00001,0,0.00001
2440,7.8,0.00001,0,0.00001
2441,-3.16,0.00001,0,0.00001
2442,-3.16,0.00001,0,0.00001
2443,-3.16,0.00001,0,0.00001
2444,-3.16,0.00001,0,0.00001
2445,-2.56,0.00001,0,0.00001
2446,-2.56,0.00001,0,0.00001
2447,-2.56,0.00001,0,0.00001
2448,-2.56,0.00001,0,0.00001
2449,-2.56,0.00001,0,0.00001
2450,0.84,0.00001,0,0.00001
2451,0.84,0.00001,0,0.00001
2452,0.84,0.00001,0,0.00001
2453,0.84,0.00001,0,0.00001
2454,1.16,0.00001,0,0.00001
2455,1.16,0.00001,0,0.00001
2456,1.16,0.00001,0,0.00001
2457,1.16,0.00001,0,0.00001
2458,8.76,0.00001,0,0.00001
2459,8.76,0.00001,0,0.00001
2460,8.76,0.00001,0,0.00001
2461,8.76,0.00001,0,0.00001
2462,8.76,0.00001,0,0.00001
2463,13.96,0.00001,0,0.00001
2464,13.96,0.00001,0,0.00001
2465,13.96,0.00001,0,0.00001
2466,13.96,0.00001,0,0.00001
2467,17.8,0.00001,0,0.00001
2468,17.8,0.00001,0,0.00001
2469,17.8,0.00001,0,0.00001
2470,17.8,0.00001,0,0.00001
