"species","kernel","emass","elong_mean","elong_sd","floron_mean","floron_sd","floroff_mean","floroff_sd","seedon_mean","seedon_sd","seedoff_mean","seedoff_sd","span_mean","span_sd","b0grow_mean","b0grow_sd","b0m_mean","b0m_sd","b0germ_mean","b0germ_sd","maxseedn_mean","maxseedn_sd","maxmass"
"Cerastium_holosteoides","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cerastium_tomentosum","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cerinthe_minor","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,590,19.6666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Chaerophyllum_hirsutum","wa",0.001,17,0.566666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Chaerophyllum_temulum","wa",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,78,2.6,5250000000,175000000,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cichorium_intybus","wa",0.001,2,0.0666666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,884,29.4666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cirsium_acaule","a",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1290,43,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cirsium_arvense","wa",0.001,15,0.5,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cirsium_oleraceum","a",0.001,14,0.466666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1222,40.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cirsium_tuberosum","a",0.001,36,1.2,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cirsium_vulgare","a",0.001,11,0.366666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,462,15.4,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Clinopodium_vulgare","w",0.001,5,0.166666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,884,29.4666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Convolvulus_arvensis","w",0.001,20,0.666666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Crepis_biennis","a",0.001,27,0.9,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,104,3.46666666666667,5250000000,175000000,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cruciata_laevipes","wa",0.001,2,0.0666666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1058,35.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cynosurus_cristatus","wa",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Dactylis_glomerata","wa",0.001,14,0.466666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1110,37,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Daucus_carota","wa",0.001,17,0.566666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,208,6.93333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Echium_vulgare","w",0.001,16,0.533333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,104,3.46666666666667,5250000000,175000000,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Elytrigia_repens","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Epilobium_angustifolium","wa",0.0001,5,0.166666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1290,43,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,1
"Epilobium_montanum","wa",0.0003,6,0.2,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,2
"Equisetum_arvense","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1110,37,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Euphorbia_cyparissias","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Euphrasia_officinalis","a",0.0003,22,0.733333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,52,1.73333333333333,35000000000,1166666666.66667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,2
"Falcaria_vulgaris","wa",0.001,20,0.666666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,721,24.0333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,2000,66.6666666666667,5
"Festuca_ovina","wa",0.001,10,0.333333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,832,27.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,38,1.26666666666667,5
"Festuca_pratensis","wa",0.001,14,0.466666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,884,29.4666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Festuca_rubra","wa",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,832,27.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,7,0.233333333333334,5
"Filipendula_vulgaris","wa",0.001,6,0.2,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,659,21.9666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,324,10.8,5
"Fragaria_vesca","w",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1612,53.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,174,5.8,5
"Fragaria_viridis","w",0.001,6,0.2,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Galeopsis_ladanum","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,52,1.73333333333333,35000000000,1166666666.66667,1650000000,55000000,1650000000,55000000,300,10,5
